"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","Male","Female","Other","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"21","first","1C",6.82,"Emily","Emily",NA,0,1,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"22","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"23","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"24","first","2A",2.12,"Chris","Chris",NA,0,1,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"25","first","2A",6.73,"Mary","Mary",NA,0,1,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"26","first","2A",3.61,"Stevie","Stevie",NA,1,0,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"27","first","2A",4.73,"Kerry","Kerry",NA,1,0,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"28","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"R_3rII4whf2hwdbxp","male","25 - 34","WhiteBlack or African American","4 year degree"
"29","first","1B",1.24,"Brian","Brian",NA,1,0,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"30","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"31","first","1B",3.75,"Quinn","Quinn",NA,1,0,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"32","first","1B",4.34,"Riley","Riley",NA,0,1,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"33","first","1B",5.22,"Blair","Blair",NA,0,1,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"34","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"35","first","1B",6.78,"Rebecca","Rebecca",NA,0,1,0,"R_2fwEZnnIjFr6u3D","male","25 - 34","White","4 year degree"
"36","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"37","first","2A",4.22,"Taylor","Taylor",NA,0,1,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"38","first","2A",2.12,"Chris","Chris",NA,1,0,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"39","first","2A",6.73,"Mary","Mary",NA,0,1,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"40","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"41","first","2A",4.73,"Kerry","Kerry",NA,1,0,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"42","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"R_1NfgY6vhbC4axwE","male","18 - 24","White","Some college"
"43","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"44","first","3B",4.34,"Riley","Riley",NA,0,1,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"45","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"46","first","3B",3.75,"Quinn","Quinn",NA,1,0,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"47","first","3B",1.24,"Brian","Brian",NA,1,0,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"48","first","3B",6.78,"Rebecca","Rebecca",NA,1,0,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"49","first","3B",5.22,"Blair","Blair",NA,0,1,0,"R_2af7C8X0UuGb1RM","male","25 - 34","White","High school graduate"
"50","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"51","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"52","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"53","first","2C",6.82,"Emily","Emily",NA,0,1,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"54","first","2C",3.87,"Reese","Reese",NA,0,1,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"55","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"56","first","2C",1.28,"James","James",NA,1,0,0,"R_1lAmNG5ymJbFCKG","male","35 - 44","White","Some college"
"57","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"58","first","3C",4.39,"Jessie","Jessie",NA,0,1,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"59","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"60","first","3C",3.87,"Reese","Reese",NA,1,0,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"61","first","3C",1.28,"James","James",NA,1,0,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"62","first","3C",6.82,"Emily","Emily",NA,0,1,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"63","first","3C",5.34,"Jackie","Jackie",NA,0,1,0,"R_2zGznSFc6fX6McA","male","35 - 44","White","4 year degree"
"64","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"65","first","1A",2.12,"Chris","Chris",NA,1,0,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"66","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"67","first","1A",4.22,"Taylor","Taylor",NA,0,1,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"68","first","1A",4.73,"Kerry","Kerry",NA,1,0,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"69","first","1A",5.59,"Jodie","Jodie",NA,1,0,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"70","first","1A",6.73,"Mary","Mary",NA,0,1,0,"R_Y6yf68LyYe2TGW5","male","35 - 44","White","High school graduate"
"71","first","1B",1.24,"Brian","Brian",NA,1,0,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"72","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"73","first","1B",3.75,"Quinn","Quinn",NA,0,1,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"74","first","1B",4.34,"Riley","Riley",NA,0,1,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"75","first","1B",5.22,"Blair","Blair",NA,0,1,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"76","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"77","first","1B",6.78,"Rebecca","Rebecca",NA,0,1,0,"R_3J4uTkKjqAaEhVQ","female","35 - 44","White","Some college"
"78","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"79","first","1A",2.12,"Chris","Chris",NA,1,0,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"80","first","1A",3.61,"Stevie","Stevie",NA,0,1,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"81","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"82","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"83","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"84","first","1A",6.73,"Mary","Mary",NA,0,1,0,"R_2xwQRVgenoznkME","male","18 - 24","White","2 year degree"
"85","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"86","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"87","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"88","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"89","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"90","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"91","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"R_2wRBEzuzM5PtXuW","male","25 - 34","White","2 year degree"
"92","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"93","first","2B",4.34,"Riley","Riley",NA,0,1,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"94","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"95","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"96","first","2B",3.75,"Quinn","Quinn",NA,1,0,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"97","first","2B",5.22,"Blair","Blair",NA,1,0,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"98","first","2B",1.24,"Brian","Brian",NA,1,0,0,"R_31B2R0EIfdD2G0v","male","25 - 34","White","4 year degree"
"99","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"100","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"101","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"102","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"103","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"104","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"105","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"R_2VNFLarQEyNKElo","female","35 - 44","Black or African American","2 year degree"
"106","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"107","first","3B",4.34,"Riley","Riley",NA,0,1,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"108","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"109","first","3B",3.75,"Quinn","Quinn",NA,0,1,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"110","first","3B",1.24,"Brian","Brian",NA,1,0,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"111","first","3B",6.78,"Rebecca","Rebecca",NA,0,1,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"112","first","3B",5.22,"Blair","Blair",NA,1,0,0,"R_2VrPQ23q9KFlsuH","N/A","25 - 34","WhiteBlack or African American","2 year degree"
"113","first","1C",1.28,"James","James",NA,1,0,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"114","first","1C",2.61,"Emerson","Emerson",NA,0,1,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"115","first","1C",3.87,"Reese","Reese",NA,1,0,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"116","first","1C",4.39,"Jessie","Jessie",NA,1,0,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"117","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"118","first","1C",6.24,"Ashley","Ashley",NA,1,0,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"119","first","1C",6.82,"Emily","Emily",NA,0,1,0,"R_24GDpXgi26iQxpa","female","35 - 44","White","4 year degree"
"120","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"121","first","2B",4.34,"Riley","Riley",NA,0,1,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"122","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"123","first","2B",6.78,"Rebecca","Rebecca",NA,1,0,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"124","first","2B",3.75,"Quinn","Quinn",NA,0,1,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"125","first","2B",5.22,"Blair","Blair",NA,0,1,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"126","first","2B",1.24,"Brian","Brian",NA,1,0,0,"R_3PzfQv6TnkgK2Z0","male","35 - 44","Black or African American","Some college"
"127","first","1B",1.24,"Brian","Brian",NA,1,0,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"128","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"129","first","1B",3.75,"Quinn","Quinn",NA,1,0,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"130","first","1B",4.34,"Riley","Riley",NA,0,1,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"131","first","1B",5.22,"Blair","Blair",NA,1,0,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"132","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"133","first","1B",6.78,"Rebecca","Rebecca",NA,1,0,0,"R_3LcKfXTjujqaRvy","female","25 - 34","White","4 year degree"
"134","first","1C",1.28,"James","James",NA,1,0,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"135","first","1C",2.61,"Emerson","Emerson",NA,0,1,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"136","first","1C",3.87,"Reese","Reese",NA,1,0,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"137","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"138","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"139","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"140","first","1C",6.82,"Emily","Emily",NA,1,0,0,"R_31ygjKiyjBhJgBo","male","35 - 44","White","Professional degree"
"141","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"142","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"143","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"144","first","2C",6.82,"Emily","Emily",NA,0,1,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"145","first","2C",3.87,"Reese","Reese",NA,1,0,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"146","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"147","first","2C",1.28,"James","James",NA,1,0,0,"R_6fACcbxFaqmsp7b","male","45 - 54","WhiteNative Hawaiian or Pacific Islander","Professional degree"
"148","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"149","first","1A",2.12,"Chris","Chris",NA,1,0,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"150","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"151","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"152","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"153","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"154","first","1A",6.73,"Mary","Mary",NA,0,1,0,"R_OC2p01HeHfJWGZj","male","25 - 34","White","High school graduate"
"155","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"156","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"157","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"158","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"159","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"160","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"161","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"R_3iwLJ2iNOSrwlh6","male","35 - 44","White","Professional degree"
"162","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"163","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"164","first","2A",2.12,"Chris","Chris",NA,1,0,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"165","first","2A",6.73,"Mary","Mary",NA,0,1,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"166","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"167","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"168","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"R_esUp2uBan9jMfo5","female","55 - 64","White","High school graduate"
"169","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"170","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"171","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"172","first","2C",6.82,"Emily","Emily",NA,0,1,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"173","first","2C",3.87,"Reese","Reese",NA,1,0,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"174","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"175","first","2C",1.28,"James","James",NA,1,0,0,"R_TwjkB8kn54tntPX","female","25 - 34","White","4 year degree"
"176","first","1C",1.28,"James","James",NA,1,0,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"177","first","1C",2.61,"Emerson","Emerson",NA,1,0,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"178","first","1C",3.87,"Reese","Reese",NA,1,0,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"179","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"180","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"181","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"182","first","1C",6.82,"Emily","Emily",NA,0,1,0,"R_26a8w62DnqybGiV","female","25 - 34","WhiteBlack or African American","High school graduate"
"183","first","2C",6.24,"Ashley","Ashley",NA,1,0,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"184","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"185","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"186","first","2C",6.82,"Emily","Emily",NA,0,1,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"187","first","2C",3.87,"Reese","Reese",NA,1,0,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"188","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"189","first","2C",1.28,"James","James",NA,1,0,0,"R_1DvFhe5yEMdmTXX","male","25 - 34","White","Some college"
"190","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"191","first","1A",2.12,"Chris","Chris",NA,1,0,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"192","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"193","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"194","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"195","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"196","first","1A",6.73,"Mary","Mary",NA,0,1,0,"R_3hm4Xr0KjL8E85b","male","25 - 34","White","4 year degree"
"197","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"198","first","2B",4.34,"Riley","Riley",NA,1,0,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"199","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"200","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"201","first","2B",3.75,"Quinn","Quinn",NA,1,0,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"202","first","2B",5.22,"Blair","Blair",NA,0,1,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"203","first","2B",1.24,"Brian","Brian",NA,1,0,0,"R_rrN9Ktwr9Ds2tXj","female","35 - 44","White","4 year degree"
"204","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"R_1q3yHRLvYq94n0X","female","45 - 54","White","Some college"
